stage	event	scene	document	buffer	a	b	c
Event Dispatch Begin	138	0	4	4	1	6	0
State Mutation Complete	138	0	4	4	0	0	6
Event Dispatch Begin	139	0	4	4	8	6	0
State Mutation Complete	139	0	4	4	0	0	6
Event Dispatch Begin	140	0	4	4	1	6	0
State Mutation Complete	140	0	4	4	0	0	6
Event Dispatch Begin	141	0	4	4	8	6	0
State Mutation Complete	141	0	4	4	0	0	6
Atlas Publication Begin	142	10	5	5	83	0	0
Atlas Publication Complete	142	10	5	5	0	0	0
Event Dispatch Begin	142	0	4	4	5	6	0
Frame Build Begin	142	10	5	5	1148190720	1141309440	0
Frame Build Complete	142	10	5	5	89	83	0
Glyph Atlas Summary	142	10	5	5	93	0	75264
Layout Cache Summary	142	10	5	5	4	1	3008
Native Event Handler Latency	142	0	0	0	110000	0	0
Native Frame Queue Latency	142	0	0	0	7429542	0	0
Native GPU Terminal Observed Latency	142	0	0	0	17117416	0	0
Native Submission Latency	142	0	0	0	150250	0	0
Native Terminal Record Latency	142	0	0	0	17119291	0	0
State Mutation Complete	142	0	5	5	1	1	7
Text Summary	142	10	5	5	3	0	1
Visible Layout Begin	142	10	5	5	0	0	0
Visible Layout Complete	142	10	5	5	5	0	0
Event Dispatch Begin	143	0	5	5	8	7	0
State Mutation Complete	143	0	5	5	0	0	7
Event Dispatch Begin	144	0	5	5	1	7	0
State Mutation Complete	144	0	5	5	0	0	7
Event Dispatch Begin	145	0	5	5	8	7	0
State Mutation Complete	145	0	5	5	0	0	7
Event Dispatch Begin	146	0	5	5	1	7	0
State Mutation Complete	146	0	5	5	0	0	7
Event Dispatch Begin	147	0	5	5	8	7	0
State Mutation Complete	147	0	5	5	0	0	7
Event Dispatch Begin	148	0	5	5	1	7	0
State Mutation Complete	148	0	5	5	0	0	7
Event Dispatch Begin	149	0	5	5	8	7	0
State Mutation Complete	149	0	5	5	0	0	7
Event Dispatch Begin	150	0	5	5	1	7	0
State Mutation Complete	150	0	5	5	0	0	7
Event Dispatch Begin	151	0	5	5	8	7	0
State Mutation Complete	151	0	5	5	0	0	7
