stage	event	scene	document	buffer	a	b	c
Atlas Publication Complete	108	8	7	7	0	0	0
Event Dispatch Begin	108	0	6	6	5	7	0
Frame Build Begin	108	8	7	7	1148190720	1141309440	0
Frame Build Complete	108	8	7	7	24	19	0
Glyph Atlas Summary	108	8	7	7	19	0	68096
Layout Cache Summary	108	8	7	7	0	1	1248
State Mutation Complete	108	0	7	7	1	1	8
Text Summary	108	8	7	7	2	0	1
Visible Layout Begin	108	8	7	7	0	0	0
Visible Layout Complete	108	8	7	7	1	0	0
Event Dispatch Begin	109	0	7	7	8	8	0
State Mutation Complete	109	0	7	7	0	0	8
Event Dispatch Begin	110	0	7	7	1	8	0
State Mutation Complete	110	0	7	7	0	0	8
Event Dispatch Begin	111	0	7	7	8	8	0
State Mutation Complete	111	0	7	7	0	0	8
Event Dispatch Begin	112	0	7	7	1	8	0
State Mutation Complete	112	0	7	7	0	0	8
Event Dispatch Begin	113	0	7	7	8	8	0
State Mutation Complete	113	0	7	7	0	0	8
Event Dispatch Begin	114	0	7	7	1	8	0
State Mutation Complete	114	0	7	7	0	0	8
Event Dispatch Begin	115	0	7	7	8	8	0
State Mutation Complete	115	0	7	7	0	0	8
Event Dispatch Begin	116	0	7	7	1	8	0
State Mutation Complete	116	0	7	7	0	0	8
Event Dispatch Begin	117	0	7	7	8	8	0
State Mutation Complete	117	0	7	7	0	0	8
Atlas Publication Begin	118	9	8	8	20	0	0
Atlas Publication Complete	118	9	8	8	2	768	1
Event Dispatch Begin	118	0	7	7	5	8	0
Frame Build Begin	118	9	8	8	1148190720	1141309440	0
Frame Build Complete	118	9	8	8	25	20	0
Glyph Atlas Summary	118	9	8	8	19	1	68096
Layout Cache Summary	118	9	8	8	0	1	1312
State Mutation Complete	118	0	8	8	1	1	9
Text Summary	118	9	8	8	2	1	1
Visible Layout Begin	118	9	8	8	0	0	0
Visible Layout Complete	118	9	8	8	1	0	0
Event Dispatch Begin	119	0	8	8	8	9	0
State Mutation Complete	119	0	8	8	0	0	9
Event Dispatch Begin	120	0	8	8	1	9	0
State Mutation Complete	120	0	8	8	0	0	9
Event Dispatch Begin	121	0	8	8	8	9	0
State Mutation Complete	121	0	8	8	0	0	9
Event Dispatch Begin	122	0	8	8	1	9	0
State Mutation Complete	122	0	8	8	0	0	9
Event Dispatch Begin	123	0	8	8	8	9	0
State Mutation Complete	123	0	8	8	0	0	9
Event Dispatch Begin	124	0	8	8	1	9	0
State Mutation Complete	124	0	8	8	0	0	9
Event Dispatch Begin	125	0	8	8	8	9	0
State Mutation Complete	125	0	8	8	0	0	9
Event Dispatch Begin	126	0	8	8	1	9	0
State Mutation Complete	126	0	8	8	0	0	9
Event Dispatch Begin	127	0	8	8	8	9	0
State Mutation Complete	127	0	8	8	0	0	9
Atlas Publication Begin	128	10	9	9	21	0	0
Atlas Publication Complete	128	10	9	9	2	6144	1
Event Dispatch Begin	128	0	8	8	5	9	0
Frame Build Begin	128	10	9	9	1148190720	1141309440	0
Frame Build Complete	128	10	9	9	26	21	0
Glyph Atlas Summary	128	10	9	9	20	1	68096
Layout Cache Summary	128	10	9	9	0	1	1376
Native Display Link Target Latency	128	0	0	0	14746083	0	0
Native Event Handler Latency	128	0	0	0	33916	0	0
Native Frame Queue Latency	128	0	0	0	6443750	0	0
Native GPU Terminal Observed Latency	128	0	0	0	14807166	0	0
Native Presented Handler Latency	128	0	0	0	36064708	0	0
Native Submission Latency	128	0	0	0	177792	0	0
Native Target Presentation Latency	128	0	0	0	48079333	0	0
Native Terminal Record Latency	128	0	0	0	14808541	0	0
State Mutation Complete	128	0	9	9	1	1	10
Text Summary	128	10	9	9	2	1	1
Visible Layout Begin	128	10	9	9	0	0	0
Visible Layout Complete	128	10	9	9	1	0	0
Event Dispatch Begin	129	0	9	9	8	10	0
State Mutation Complete	129	0	9	9	0	0	10
Event Dispatch Begin	130	0	9	9	1	10	0
State Mutation Complete	130	0	9	9	0	0	10
Event Dispatch Begin	131	0	9	9	8	10	0
State Mutation Complete	131	0	9	9	0	0	10
Event Dispatch Begin	132	0	9	9	1	10	0
State Mutation Complete	132	0	9	9	0	0	10
Event Dispatch Begin	133	0	9	9	8	10	0
State Mutation Complete	133	0	9	9	0	0	10
Event Dispatch Begin	134	0	9	9	1	10	0
State Mutation Complete	134	0	9	9	0	0	10
Event Dispatch Begin	135	0	9	9	8	10	0
State Mutation Complete	135	0	9	9	0	0	10
Event Dispatch Begin	136	0	9	9	1	10	0
State Mutation Complete	136	0	9	9	0	0	10
Event Dispatch Begin	137	0	9	9	8	10	0
State Mutation Complete	137	0	9	9	0	0	10
Atlas Publication Begin	138	11	10	10	22	0	0
Atlas Publication Complete	138	11	10	10	2	4608	1
Event Dispatch Begin	138	0	9	9	5	10	0
Frame Build Begin	138	11	10	10	1148190720	1141309440	0
Frame Build Complete	138	11	10	10	27	22	0
Glyph Atlas Summary	138	11	10	10	21	1	68096
Layout Cache Summary	138	11	10	10	0	1	1440
State Mutation Complete	138	0	10	10	1	1	11
Text Summary	138	11	10	10	2	1	1
Visible Layout Begin	138	11	10	10	0	0	0
Visible Layout Complete	138	11	10	10	1	0	0
Event Dispatch Begin	139	0	10	10	8	11	0
State Mutation Complete	139	0	10	10	0	0	11
Event Dispatch Begin	140	0	10	10	1	11	0
State Mutation Complete	140	0	10	10	0	0	11
Event Dispatch Begin	141	0	10	10	8	11	0
State Mutation Complete	141	0	10	10	0	0	11
Event Dispatch Begin	142	0	10	10	1	11	0
State Mutation Complete	142	0	10	10	0	0	11
Event Dispatch Begin	143	0	10	10	8	11	0
State Mutation Complete	143	0	10	10	0	0	11
Event Dispatch Begin	144	0	10	10	1	11	0
State Mutation Complete	144	0	10	10	0	0	11
Event Dispatch Begin	145	0	10	10	8	11	0
