stage	event	scene	document	buffer	a	b	c
Event Dispatch Begin	101	0	2	2	1	5	0
State Mutation Complete	101	0	2	2	0	0	5
Event Dispatch Begin	102	0	2	2	8	5	0
State Mutation Complete	102	0	2	2	0	0	5
Event Dispatch Begin	103	0	2	2	1	5	0
State Mutation Complete	103	0	2	2	0	0	5
Event Dispatch Begin	104	0	2	2	8	5	0
State Mutation Complete	104	0	2	2	0	0	5
Event Dispatch Begin	105	0	2	2	1	5	0
State Mutation Complete	105	0	2	2	0	0	5
Event Dispatch Begin	106	0	2	2	8	5	0
State Mutation Complete	106	0	2	2	0	0	5
Event Dispatch Begin	107	0	2	2	1	5	0
State Mutation Complete	107	0	2	2	0	0	5
Event Dispatch Begin	108	0	2	2	8	5	0
State Mutation Complete	108	0	2	2	0	0	5
Atlas Publication Begin	109	9	3	3	80	0	0
Atlas Publication Complete	109	9	3	3	0	0	0
Event Dispatch Begin	109	0	2	2	5	5	0
Frame Build Begin	109	9	3	3	1148190720	1141309440	0
Frame Build Complete	109	9	3	3	86	80	0
Glyph Atlas Summary	109	9	3	3	89	0	70400
Layout Cache Summary	109	9	3	3	4	1	2880
Native Actual Presentation Latency	109	0	0	0	45977500	0	0
Native Display Link Target Latency	109	0	0	0	12644583	0	0
Native Event Handler Latency	109	0	0	0	140792	0	0
Native Frame Queue Latency	109	0	0	0	4288125	0	0
Native GPU Terminal Observed Latency	109	0	0	0	12790458	0	0
Native Presentation Callback Lag	109	0	0	0	292792	0	0
Native Presented Handler Latency	109	0	0	0	46271000	0	0
Native Submission Latency	109	0	0	0	194375	0	0
Native Target Presentation Latency	109	0	0	0	45977833	0	0
Native Terminal Record Latency	109	0	0	0	21096625	0	0
State Mutation Complete	109	0	3	3	1	1	6
Text Summary	109	9	3	3	3	0	1
Visible Layout Begin	109	9	3	3	0	0	0
Visible Layout Complete	109	9	3	3	5	0	0
Event Dispatch Begin	110	0	3	3	8	6	0
State Mutation Complete	110	0	3	3	0	0	6
Event Dispatch Begin	111	0	3	3	1	6	0
State Mutation Complete	111	0	3	3	0	0	6
Event Dispatch Begin	112	0	3	3	8	6	0
State Mutation Complete	112	0	3	3	0	0	6
Event Dispatch Begin	113	0	3	3	1	6	0
State Mutation Complete	113	0	3	3	0	0	6
Event Dispatch Begin	114	0	3	3	8	6	0
State Mutation Complete	114	0	3	3	0	0	6
Event Dispatch Begin	115	0	3	3	1	6	0
State Mutation Complete	115	0	3	3	0	0	6
Event Dispatch Begin	116	0	3	3	8	6	0
State Mutation Complete	116	0	3	3	0	0	6
Event Dispatch Begin	117	0	3	3	1	6	0
State Mutation Complete	117	0	3	3	0	0	6
Event Dispatch Begin	118	0	3	3	8	6	0
State Mutation Complete	118	0	3	3	0	0	6
Atlas Publication Begin	119	10	4	4	81	0	0
Atlas Publication Complete	119	10	4	4	0	0	0
Event Dispatch Begin	119	0	3	3	5	6	0
Frame Build Begin	119	10	4	4	1148190720	1141309440	0
Frame Build Complete	119	10	4	4	87	81	0
Glyph Atlas Summary	119	10	4	4	90	0	70400
Layout Cache Summary	119	10	4	4	4	1	2944
Native Actual Presentation Latency	119	0	0	0	49229208	0	0
Native Display Link Target Latency	119	0	0	0	15896000	0	0
Native Event Handler Latency	119	0	0	0	137792	0	0
Native Frame Queue Latency	119	0	0	0	7608666	0	0
Native GPU Terminal Observed Latency	119	0	0	0	16057875	0	0
Native Presentation Callback Lag	119	0	0	0	234375	0	0
Native Presented Handler Latency	119	0	0	0	49464042	0	0
Native Submission Latency	119	0	0	0	201750	0	0
Native Target Presentation Latency	119	0	0	0	49229250	0	0
Native Terminal Record Latency	119	0	0	0	24404459	0	0
State Mutation Complete	119	0	4	4	1	1	7
Text Summary	119	10	4	4	3	0	1
Visible Layout Begin	119	10	4	4	0	0	0
Visible Layout Complete	119	10	4	4	5	0	0
Event Dispatch Begin	120	0	4	4	8	7	0
State Mutation Complete	120	0	4	4	0	0	7
Event Dispatch Begin	121	0	4	4	1	7	0
State Mutation Complete	121	0	4	4	0	0	7
Event Dispatch Begin	122	0	4	4	8	7	0
State Mutation Complete	122	0	4	4	0	0	7
Event Dispatch Begin	123	0	4	4	1	7	0
State Mutation Complete	123	0	4	4	0	0	7
Event Dispatch Begin	124	0	4	4	8	7	0
State Mutation Complete	124	0	4	4	0	0	7
Event Dispatch Begin	125	0	4	4	1	7	0
State Mutation Complete	125	0	4	4	0	0	7
Event Dispatch Begin	126	0	4	4	8	7	0
State Mutation Complete	126	0	4	4	0	0	7
Event Dispatch Begin	127	0	4	4	1	7	0
State Mutation Complete	127	0	4	4	0	0	7
Event Dispatch Begin	128	0	4	4	8	7	0
State Mutation Complete	128	0	4	4	0	0	7
Atlas Publication Begin	129	11	5	5	81	0	0
